"Local", "undefined"
"São João da Boa Vista", 35689.91
"São João das Duas Pontes", 17697.92
"São João de Iracema", 19725.02
"São João do Pau d'Alho", 22190.66
"São Joaquim da Barra", 31645.76
"São José da Bela Vista", 19231.59
"São José do Barreiro", 12208.31
"São José do Rio Pardo", 35493.24
"São José do Rio Preto", 40816.18
"São José dos Campos", 60340.25
"São Lourenço da Serra", 14692.59
"São Luiz do Paraitinga", 15999.04
"São Manuel", 27478.98
"São Miguel Arcanjo", 24118.45
"São Paulo", 62324.22
"São Pedro", 22418.26
"São Pedro do Turvo", 23360.61
"São Roque", 34685.95
"São Sebastião", 39292.69
"São Sebastião da Grama", 24420.64
"São Simão", 29714.82
"São Vicente", 15191.99
"Sarapuí", 15777.95
"Sarutaiá", 18259.59
"Sebastianópolis do Sul", 94968.60
"Serra Azul", 11823.11
"Serrana", 22537.80
"Serra Negra", 25403.22
"Sertãozinho", 43540.69
"Sete Barras", 25616.92
"Severínia", 13762.60
"Silveiras", 12071.36
"Socorro", 21820.57
"Sorocaba", 54863.25
"Sud Mennucci", 23363.76
"Sumaré", 52801.43
"Suzano", 40544.72
"Suzanápolis", 57760.19
"Tabapuã", 20109.54
"Tabatinga", 15711.14
"Taboão da Serra", 30452.15
"Taciba", 25513.86
"Taguaí", 18312.03
"Taiaçu", 14874.23
"Taiúva", 20238.62
"Tambaú", 24918.71
"Tanabi", 39599.58
"Tapiraí", 18961.02
"Tapiratiba", 22109.15
"Taquaral", 13721.56
"Taquaritinga", 26711.00
"Taquarituba", 35560.68
"Taquarivaí", 40328.86
"Tarabai", 16252.62
"Tarumã", 49437.54
"Tatuí", 33611.10
"Taubaté", 55618.85
"Tejupá", 19045.99
"Teodoro Sampaio", 23226.42
"Terra Roxa", 15605.20
"Tietê", 44012.00
"Timburi", 18693.04
"Torre de Pedra", 12875.08
"Torrinha", 21011.89
"Trabiju", 21411.28
"Tremembé", 15616.56
"Três Fronteiras", 18095.12
"Tuiuti", 20575.12
"Tupã", 29468.41
"Tupi Paulista", 20196.17
"Turiúba", 19488.02
"Turmalina", 34217.32
"Ubarana", 55476.87
"Ubatuba", 26258.47
"Ubirajara", 19289.03
"Uchoa", 28827.40
"União Paulista", 24403.47
"Urânia", 25521.64
"Uru", 31455.26
"Urupês", 29685.26
"Valentim Gentil", 25001.43
"Valinhos", 50847.37
"Valparaíso", 38255.68
"Vargem", 12760.63
"Vargem Grande do Sul", 24110.13
"Vargem Grande Paulista", 41393.09
"Várzea Paulista", 24057.70
"Vera Cruz", 16268.77
"Vinhedo", 122764.73
"Viradouro", 18241.61
"Vista Alegre do Alto", 37612.42
"Vitória Brasil", 19727.38
"Votorantim", 27806.49
"Votuporanga", 32525.16
"Zacarias", 34483.88
"Chavantes", 17233.25
"Estiva Gerbi", 28306.00
